Marko	Marco	1,nomo
esti	essere	1,radiko
as	tempo presente	1,finaĵo
mi	io	1,pronomo
a	aggettivo	1,finaĵo
amiko	amico	1,radiko
o	sostantivo	1,finaĵo
li	egli, lui	1,pronomo
lerni	imparare	1,radiko
ant	presente attivo	1,participo
kaj	e	1,konjunkcio
sporto	sport	1,radiko
ist	mestiere	1,sufikso
nun	adesso	1,adverbo
sidi	sedersi	1,radiko
en	in	1,prepozicio
ĉambro	stanza	1,radiko
sur	su	1,prepozicio
tablo	tavolo	1,radiko
papero	carta	1,radiko
j	plurale	1,finaĵo
libro	libro	1,radiko
ĝi	esso	1,pronomo
skribi	scrivere	1,radiko
la	il/lo/la/i/gli/le	1,artikolo
patro	padre	1,radiko
in	femminile	1,sufikso
de	di, da	1,prepozicio
ne	no, non	1,partikulo
ili	essi, esse	1,pronomo
labori	lavorare	1,radiko
hotelo	hotel	1,radiko
instrui	insegnare	1,radiko
ŝi	ella, lei	1,pronomo
havi	avere	2,radiko
n	accusativo	2,finaĵo
nomo	nome	2,radiko
Ana	Ana	2,nomo
juna	giovane	2,radiko
bela	beautiful	2,radiko
ge	ambo i sessi	2,prefikso
veni	venire	2,radiko
is	tempo passato	2,finaĵo
al	a (complemento di termine), a, verso (moto a luogo)	2,prepozicio
hejmo	casa propria	2,radiko
bona	buono	2,radiko
voli	volere	2,radiko
u	imperativo	2,finaĵo
iri	andare	2,radiko
i	infinito	2,finaĵo
saluto	saluto, ciao	2,radiko
kio	che cosa	2,tabelvorto
vi	tu, voi	2,pronomo
fari	fare	2,radiko
legi	leggere	2,radiko
sed	ma	2,konjunkcio
paroli	parlare	2,radiko
kun	con	2,prepozicio
ĉu	(particella interrogativa)	2,partikulo
jes	sì	2,adverbo
ŝati	gradire, apprezzare	2,radiko
nur	soltanto	2,adverbo
trinki	bere	2,radiko
kafo	caffè	2,radiko
frato	fratello	2,radiko
jen	ecco	2,partikulo
ankoraŭ	ancora	2,adverbo
varma	caldo	2,radiko
kuiri	cucinare	2,radiko
danki	ringraziamento	2,radiko
povi	potere	2,radiko
ankaŭ	anche	2,adverbo
mal	opposto	2,prefikso
rigardi	guardare	2,radiko
okulo	occhio	2,radiko
vidi	vedere	2,radiko
ke	che	2,konjunkcio
ami	amore	2,radiko
longa	lungo	3,radiko
e	avverbio	3,finaĵo
antaŭ	prima, davanti	3,prepozicio
ej	luogo	3,sufikso
post	dopo	3,prepozicio
ĝoja	contento	3,radiko
tra	attraverso	3,prepozicio
strato	strada	3,radiko
tago	giorno	3,radiko
kuko	torta	3,radiko
ni	noi	3,pronomo
manĝi	mangiare	3,radiko
diri	dire	3,radiko
sufiĉa	sufficiente	3,radiko
mono	donera	3,radiko
kompreni	capire	3,radiko
ebl	possibilità	3,sufikso
cent	cento	3,cifero
dolaro	dollaro	3,radiko
ho	oh	3,interjekcio
riĉa	ricco	3,radiko
kelnero	cameriere	3,radiko
porti	portare	3,radiko
multa	molto	3,radiko
nova	nuovo	3,radiko
serĉi	cercare	3,radiko
unu	uno	3,cifero
loko	luogo	3,radiko
alia	altro	3,radiko
vizaĝo	faccia	3,radiko
fini	finire	3,radiko
per	mediante, tramite	3,prepozicio
forta	forte	3,radiko
voĉo	voce	3,radiko
okazi	accadere, succedere	3,radiko
scii	sapere	3,radiko
letero	lettera	4,radiko
vera	vero	4,radiko
foto	foto	4,radiko
kiam	quando	4,tabelvorto
re	di nuovo, ri-	4,prefikso
el	da (estrazione)	4,prepozicio
rapida	veloce	4,radiko
tie	lì	4,tabelvorto
stari	stare in piedi	4,radiko
Vera	Vera	4,nomo
mano	mano	4,radiko
koleri	rabbia	4,radiko
iĝ	diventare	4,sufikso
ruĝa	rosso	4,radiko
fali	cadere	4,radiko
pardoni	perdonare	4,radiko
doni	dare	4,radiko
ricevi	ricevere	4,radiko
leciono	lezione	4,radiko
plu	oltre, più (con negativo)	4,adverbo
os	tempo futuro	4,finaĵo
devi	dovere	4,radiko
fermi	chiudere	4,radiko
pordo	porta	4,radiko
sinjoro	signore	5,radiko
vendi	vendere	5,radiko
aŭto	automobile	5,radiko
kiu	chi, quale	5,tabelvorto
plaĉi	piacere	5,radiko
demandi	domandare	5,radiko
plej	il più (superlativo)	5,adverbo
tiu	quello, colui	5,tabelvorto
ĉi	questo	5,partikulo
ĉiu	ognuno, ciascuno	5,tabelvorto
pli	più (comparativo)	5,adverbo
ol	di (comparativo)	5,konjunkcio
tre	molto	5,adverbo
certa	certo	5,radiko
kosti	costare	5,radiko
bedaŭri	dispiacere	5,radiko
ind	degno di	5,sufikso
aĉeti	comprare	5,radiko
ĉar	perché	5,konjunkcio
veturi	viaggiare (con un veicolo)	5,radiko
dum	durante	5,prepozicio
tio	ciò, quella cosa	5,tabelvorto
edzo	marito	5,radiko
Maja	Maya	6,nomo
et	diminutivo	6,sufikso
ul	individuo	6,sufikso
tri	tre	6,cifero
ig	far diventare	6,sufikso
sana	sano	6,radiko
alta	alto	6,radiko
temperaturo	temperatura	6,radiko
resti	restare	6,radiko
morgaŭ	domani	6,adverbo
voki	chiamare	6,radiko
doktoro	dottore	6,radiko
je	(preposizione indefinita)	6,prepozicio
naŭ	nove	6,cifero
horo	ora	6,radiko
por	per	6,prepozicio
helpi	aiutare	6,radiko
montri	mostrare	6,radiko
piedo	piede	6,radiko
vesti	indossare	6,radiko
ĉio	tutto, ogni cosa	6,tabelvorto
fine	alla fine	6,vorto
semajno	settimana	6,radiko
sub	sotto	6,prepozicio
teo	tè	6,radiko
mateno	mattina	6,radiko
vespero	sera	6,radiko
deziri	desiderare	6,radiko
trankvila	tranquillo, calmo	6,radiko
farti	sentirsi	6,radiko
eg	accrescitivo	6,sufikso
Karlo	Carlo	6,nomo
hm	uhm	6,interjekcio
dormi	dormire	7,radiko
suno	sole	7,radiko
subita	improvviso	7,radiko
ek	inizio di un'azione, subitaneità	7,prefikso
salti	saltare	7,radiko
ĉiam	sempre	7,tabelvorto
frua	presto	7,radiko
hodiaŭ	oggi	7,adverbo
meti	mettere	7,radiko
aĵ	cosa concreta	7,sufikso
kuri	correre	7,radiko
laŭ	secondo (avverbio)	7,prepozicio
homo	umano	7,radiko
kia	quale, di quale specie	7,tabelvorto
saĝa	saggio	7,radiko
knabo	ragazzo	7,radiko
baldaŭ	presto	7,adverbo
it	passato passivo	7,participo
nek	né	7,konjunkcio
pensi	pensare	7,radiko
diablo	diavolo	7,radiko
memori	ricordare	7,radiko
dimanĉo	domenica	7,radiko
raporti	rapporto, esposto	8,radiko
noto	nota, appunto	8,radiko
aĉ	dispregiativo	8,sufikso
kapo	testa	8,radiko
kiom	quanto	8,tabelvorto
da	di (quantità)	8,prepozicio
ĉe	presso	8,prepozicio
ludi	giocare	8,radiko
mem	stesso	8,partikulo
tiom	tanto	8,tabelvorto
kvankam	sebbene, benché	8,konjunkcio
tiam	allora	8,tabelvorto
aŭdi	sentire (udito)	8,radiko
vorto	parola	8,radiko
tuj	subito	8,adverbo
respondi	rispondere	8,radiko
kara	caro	8,radiko
problemo	problema	8,radiko
pri	riguardo a	8,prepozicio
muziko	musica	8,radiko
ridi	ridere	8,radiko
tamen	tuttavia	8,adverbo
Petro	Petro	9,nomo
Maria	Maria	9,nomo
vojaĝi	viaggio	9,radiko
lando	terra	9,radiko
libera	libero	9,radiko
tempo	tempo	9,radiko
decidi	decidere	9,radiko
italio	Italia	9,radiko
urbo	città	9,radiko
feliĉa	felice	9,radiko
kie	dove	9,tabelvorto
forgesi	dimenticare	9,radiko
esperi	sperare	9,radiko
us	condizionale	9,finaĵo
komenci	cominciare	9,radiko
jam	già	9,adverbo
vagono	vagone, carrozza	9,radiko
ar	gruppo, aggregato	9,sufikso
nenio	niente, nessuna cosa	9,tabelvorto
sekreto	segreto	9,radiko
onklo	zio	9,radiko
Bonifacio	Bonifacio	9,nomo
plena	pieno	9,radiko
um	suffisso indefinito	9,sufikso
sia	(pronome riflessivo)	9,radiko
uzi	usare	9,radiko
domo	casa	9,radiko
ad	azione continuata o ripetuta	9,sufikso
atendi	attendere, aspettare	9,radiko
do	quindi	9,adverbo
kial	perché	9,tabelvorto
neniam	mai	9,tabelvorto
kiel	come	10,tabelvorto
pasi	passare	10,radiko
naski	partorire	10,radiko
kelka	qualche	10,radiko
familio	famiglia	10,radiko
an	membro di un gruppo	10,sufikso
iom	un poco, qualche volta	10,tabelvorto
trovi	trovare	10,radiko
almenaŭ	almeno	10,adverbo
ordo	ordine	10,radiko
io	qualche cosa	10,tabelvorto
manki	mancare	10,radiko
lakto	latte	10,radiko
necesa	necessitare	10,radiko
anstataŭ	invece	10,prepozicio
intereso	interessare	10,radiko
ekskurso	escursione	10,radiko
klubo	club	10,radiko
ĵeti	lanciare	10,radiko
ia	qualche, di qualche specie	10,tabelvorto
uj	contenitore totale	10,sufikso
ĝusta	giust, corretto	10,radiko
for	lontano, via	10,prefikso
inter	tra	10,prepozicio
sama	stesso	10,radiko
fojo	volta, occasione	10,radiko
rajti	avere il permesso di, potere	10,radiko
proponi	proporre	10,radiko
du	due	10,cifero
parto	parte	10,radiko
sukceso	successo	10,radiko
iu	qualcuno	10,tabelvorto
ideo	idea	10,novaj
tro	troppo	10,adverbo
ec	qualità astratta	10,sufikso
reala	reale	10,radiko
silento	silenzioso	10,radiko
daŭri	proseguire, continuare	10,radiko
nu	bene, su, dunque	10,interjekcio
minuto	minuto	10,radiko
telefono	telefono	10,radiko
viziti	visitare	10,radiko
dolĉa	dolce	10,radiko
atenti	stare attento	10,radiko
dika	grasso, spesso	10,radiko
ŝanĝi	cambiare	10,radiko
opinii	opinione	10,radiko
sen	senza	10,prepozicio
sola	solo	10,radiko
Veneci	Veneiza	11,radiko
Sankt-Mark	San Marco	11,nomo
placo	piazza	11,radiko
milito	guerra	11,radiko
maro	mare	11,radiko
ŝipo	nave	11,radiko
gondolo	gondola	11,radiko
movi	muovere	11,radiko
mezo	mezzo	11,radiko
proksima	vicino	11,radiko
granda	grande	11,radiko
oni	si (pronome impersonale)	11,pronomo
facila	facile	11,radiko
lumo	luce	11,radiko
flanko	lato	11,radiko
Stefan	Stefano	11,nomo
krii	gridare	11,radiko
turko	Turco	11,radiko
renkonti	incontrare	11,radiko
sekvi	seguire	11,radiko
Pietro	Pietro	11,nomo
koni	conoscere, sapere	11,radiko
akvo	acqua	11,radiko
tiel	così	11,tabelvorto
Ĝorĝo	Giorgio	11,nomo
preni	prendere	11,radiko
estro	capo	11,sufikso
preskaŭ	quasi, circa	11,adverbo
morti	morire	11,radiko
grava	important	11,radiko
Ĝino	Gino	11,nomo
halti	fermare	11,radiko
apud	accanto	11,prepozicio
dek	dieci	11,cifero
jaro	anno	11,radiko
koloro	colore	11,radiko
Jakopo	Jacopo	11,nomo
tial	perciò, per questa ragione	11,tabelvorto
timi	paura	11,radiko
sendi	spedire, mandare	11,radiko
doĝo	doge	11,radiko
bezoni	essere necessario	11,radiko
pagi	pagare	11,radiko
er	una parte del tutto	11,sufikso
afero	cosa	11,radiko
se	se	11,konjunkcio
pano	pane	11,radiko
Don Kamilo	Don Camillo	11,nomo
ĝis	fino a	11,prepozicio
S-ro	Signor - Sig.	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	pesante	12,radiko
larĝa	largo	12,radiko
korpo	corpo	12,radiko
aspekto	sembrare, apparire	12,radiko
rolo	ruolo	12,radiko
fakto	fatto	12,radiko
respekti	rispettare	12,radiko
kontenta	soddisfatto	12,radiko
ofte	spesso	12,radiko
utila	utile	12,radiko
prezenti	presentare	12,radiko
ĝeni	disturbare, infastidire	12,radiko
nokto	notte	12,radiko
arbo	albero	12,radiko
ĉefo	capo	12,radiko
vojo	via	12,radiko
ekster	fuori	12,prepozicio
sovaĝa	selvaggio, feroce	12,radiko
bruo	rumore	12,radiko
krom	oltre a	12,prepozicio
tuŝi	toccare	12,radiko
naturo	natura	12,radiko
ĝenerali	generale	12,radiko
seki	secco	12,radiko
paŝi	passo	12,radiko
vivi	vivere	12,radiko
dolori	dolore, far male	12,radiko
agrabla	piacevole	12,radiko
ju	(quanto) più/meno	12,partikulo
kastelo	castello	12,radiko
des	(quanto) più/meno	12,partikulo
Adriano	Adriano	12,nomo
viro	uomo	12,radiko
kapabla	capace	12,radiko
industrio	industria	12,radiko
polico	polizia	12,radiko
persono	persona	12,radiko
simila	simile	12,radiko
lasta	ultimo	12,radiko
laŭta	clamoroso	12,radiko
orelo	orecchio	12,radiko
momento	momento	12,radiko
ambaŭ	entrambi	12,adverbo
direkti	direzione	12,radiko
zorgi	preoccupazione	12,radiko
situacio	situazione	12,radiko
branĉo	ramo	12,radiko
rekta	diretto, dritto	12,radiko
besto	animale	12,radiko
promeni	passeggiare	12,radiko
kavo	kava	12,radiko
odoro	odore	12,radiko
preta	pronto	12,radiko
ajn	...unque, qualsiasi	12,partikulo
efektiva	invero, a dire il vero, effettivamente	12,radiko
miri	meravigliarsi	12,radiko
koro	cuore	12,radiko
ŝajni	sembrare	12,radiko
supri	sopra	12,radiko
buŝo	bocca	12,radiko
provi	provare, tentare	12,radiko
kapti	catturare	12,radiko
lampo	lampada	12,radiko
paco	pace	12,radiko
formo	formare	12,radiko
teni	tenere	12,radiko
sono	suonare	12,radiko
aŭtoritato	autorità	12,radiko
		12,
eee	eee	12,interjekcio
fuŝi	pasticciare, rovinare	12,radiko
klara	chiaro	12,radiko
eĉ	perfino	12,adverbo
tono	tono	12,radiko
ha	ah	12,interjekcio
bieno	fattoria, podere	12,radiko
grafo	conte	12,radiko
monto	montagna	12,radiko
kalva	calvo	12,radiko
inviti	invitare	12,radiko
peti	chiedere	12,radiko
teroro	terrore	12,radiko
kontroli	controllare	12,radiko
ĉirkaŭ	intorno a	12,prepozicio
akcepti	accettare	12,radiko
perdi	perdere	12,radiko
